Legends:
 - P: time periods since still exists and alive the address # 0: 0-1h, 1: 1h-3h, 2: 3h-12h, 3: 12h-24h, 4: 1d-3d, 5: 3d-1w, 6: 1w-1m,  7: 1-3m, 8:>3m
 - CurV: Current Balance of the address (now)
 - MaxV: Max blance in the last 3 months
 - CHG%: diff between current and max(3m) balance
 - 1h%: balance change in the last hour
 - 3h%: balance change in last three hours
 [...] 
 - 3m%: balance change in last three months
--------------------------------------------------------------------------------------------------------------------
                           address P    CurV    MaxV    CHG%     1h%     3h%    12h%     1d%     1w%     1m%     3m%  
--------------------------------------------------------------------------------------------------------------------
3D2oetdNuZUqQHPJmcMDDHYoqkyNVsFk9r 8 119.08K 132.03K   -9.81    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
16rCmCmbuWDhPjWTrpQGaU3EPdZF7MTdUk 8  79.20K  83.20K   -4.81    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
3Nxwenay9Z8Lc9JBiywExpnEFiLp6Afp8v 8  93.84K 140.96K  -33.42    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF 8  79.96K  79.96K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
18rnfoQgGo1HqvVQaAN4QnxjYE7Sez9eca 8  59.00K  61.00K   -3.28    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1HQ3Go3ggs8pFnXuHVHRytPCq5fGG8Hbhx 8  69.37K  69.47K   -0.15    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1PnMfRF2enSZnR6JSexxBHuQnxG8Vo5FVK 8  66.45K  66.45K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1AhTjUMztCihiTyA4K6E3QEpobjWLwKhkR 8  66.38K  66.38K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1DiHDQMPFu4p84rkLn6Majj2LCZZZRQUaa 8  66.24K  66.24K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1EBHA1ckUWzNKN7BMfDwGTx6GKEbADUozX 8  66.23K  66.23K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC 8  53.88K  53.88K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1JCe8z4jJVNXSjohjM4i9Hh813dLCNx2Sy 8  53.00K 124.18K  -57.32    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
336xGpGweq1wtY4kRTuA4w6d7yDkBU9czU 8  42.74K  43.21K   -1.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1EfBMK9q6rGFZazeF7jyNdTgqGYgcDgRE5 8  48.26K  48.26K   -0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
3R1hBCHURkquAjFUv1eH5u2gXqooJkjg4B 8  25.90K  46.40K  -44.18    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1MuYkciQTfRsU94ReAe5MiAfUpCrbLBcFR 8  44.86K  44.86K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
17hf5H8D6Yc4B7zHEg3orAtKn7Jhme7Adx 8  36.00K  36.00K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
323ENWgPNZdzsm2d6CzEaPTFrvavn1giv5 8  36.56K  40.53K   -9.81    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
3CqBquEFMYY548fNBz8u2MBw3HKprS3Xft 8  35.29K  35.41K   -0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
19Rd2Z4ckdPEs34KEmKpbddpK7ngp1sR6g 8  35.23K  35.23K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
32ixB1aXiwgpHGHo27SMRSULajCdc7jq9Q 8  30.00K  34.11K  -12.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
33VMRgxXZWgZGmGnGRZ9AEW8bZs8scMiY1 8  33.81K  33.81K   -0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
37x6JnDNhbsBw95bvEreB7WHWA74gGR17y 8  33.64K  33.64K   -0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
3Ap6mixhHLmVtH41YHH94Ut4jBfmqRpzgQ 8  33.60K  33.60K   -0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
32GxivQN3VKtVEtgsH5uTWfXd5b2LkXyUZ 8  32.49K  34.49K   -5.80    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr 8  31.00K  40.00K  -22.50    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
33VukC9ReF5bkDvPNUTy5j6VEbzMc9JFt3 8  28.48K  28.48K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
12tkqA9xSoowkzoERHMWNKsTey55YEBqkv 8  28.15K  28.15K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS 8  35.50K  82.15K  -56.78    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
198mmEcqMgmjmi4pXi48hRaZyK5GaPDmJt 8  26.22K  26.22K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1J7fmT3Wv62u4p6FuwbVJQXhQE3HiH4AQs 8  25.49K  25.49K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1G1AndHMczVQYLGfYJzqkDjXrFifpMsTaZ 8  25.41K  25.41K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1A4WLCaR11ARbib283pnH8jy8s4TJEjjPz 8  25.40K  25.40K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1JfoBz3smLAFxCMHXw155b4UE9FeYNBvCv 8  25.38K  25.38K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
13cKZYW75zBPuW6xp8Pt5QTWFHQpXosP56 8  25.30K  25.30K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
153yuheqMotbbAxxXc8Ztwx73oSMyAB1wq 8  25.27K  25.27K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
36png4nUpGkCrYnRXNR4PMSRFEgGadmh8S 8  25.00K  43.26K  -42.21    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
3HZUwxZbYRef9oEuvSvjgVMyZ227Hur7ng 8  25.00K  25.85K   -3.29    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn 8  20.01K  20.01K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW 8  19.41K  19.41K    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
34y4eyYK3mUPoys9xz9QSEHKh2RG5iLDuZ 8  18.97K  20.00K   -5.16    0.00    0.00    0.00    0.00    0.00    0.00    0.00 
